District,Year,Mean_NDVI,Mining_Area_sqkm,Total_Forest,GW_Level_m,DI_NDVI,DI_Mining,DI_Forest,DI_GW,DI,Risk_Tier,Ecological_Label,GW_Imputed
Ajmer,2015,0.257982,421.4133,284.0,10.5,0.8641508815804563,0.6979924927677141,0.9782683684028975,0.23111395646606914,0.7245,CRITICAL,🟡 MODERATE STRESS,False
Ajmer,2017,0.277213,40.3686,299.0,10.71,0.7591420630456981,0.02316562930848987,0.9730941704035875,0.23783610755441745,0.5244,HIGH,🟡 MODERATE STRESS,False
Ajmer,2019,0.233103,44.3457,305.11,7.7,1.0,0.030209038962694956,0.9709865470852018,0.14148527528809218,0.5786,HIGH,🟡 MODERATE STRESS,False
Ajmer,2021,0.295606,39.9141,331.56,4.75,0.6587090538776983,0.022360713744929428,0.9618627112797516,0.0470550576184379,0.4531,MODERATE,🟡 MODERATE STRESS,False
Ajmer,2023,0.308642,42.6303,333.01,9.11,0.5875273702201083,0.027171080419831205,0.961362538806485,0.18661971830985916,0.4607,MODERATE,🟡 MODERATE STRESS,True
Bhilwara,2015,0.271387,591.9435,227.0,11.48,0.790954312891442,1.0,0.997930320800276,0.2624839948783611,0.7893,CRITICAL,🟡 MODERATE STRESS,False
Bhilwara,2017,0.332002,74.5911,221.0,8.88,0.4599725888269437,0.08377338040628313,1.0,0.17925736235595394,0.4448,MODERATE,🟡 MODERATE STRESS,False
Bhilwara,2019,0.286373,59.8185,224.19,3.28,0.709124862807625,0.05761123375226135,0.9988996205588134,0.0,0.4769,MODERATE,🟡 MODERATE STRESS,False
Bhilwara,2021,0.341997,60.4764,224.31,5.87,0.4053959604012297,0.058776368954167636,0.9988582269748189,0.08290653008962869,0.4026,MODERATE,🟡 MODERATE STRESS,False
Bhilwara,2023,0.335526,152.4609,236.97,12.14,0.4407301637571873,0.22168012177336452,0.9944912038634012,0.28361075544174136,0.493,MODERATE,🟡 MODERATE STRESS,False
Jaipur,2015,0.275045,201.2841,643.0,30.98,0.7709801951544473,0.3081455861140111,0.8544325629527423,0.8866837387964148,0.6993,CRITICAL,🔴 HIGH DEGRADATION,False
Jaipur,2017,0.258619,150.5511,552.0,32.56,0.8606726112145553,0.21829788251420557,0.8858226974818904,0.9372599231754161,0.7217,CRITICAL,🔴 HIGH DEGRADATION,False
Jaipur,2019,0.258984,85.0644,552.76,32.0,0.8586795677552871,0.10232150399668473,0.885560538116592,0.9193341869398206,0.6884,CRITICAL,🔴 HIGH DEGRADATION,False
Jaipur,2021,0.27923,438.1596,554.86,34.52,0.7481284502858517,0.7276500450274549,0.8848361503966885,1.0,0.8276,CRITICAL,🔴 HIGH DEGRADATION,False
Jaipur,2023,0.313517,274.7853,564.58,33.76,0.5609079541545401,0.43831557471768184,0.8814832700931355,0.9756722151088346,0.6934,CRITICAL,🔴 HIGH DEGRADATION,False
Pali,2015,0.295654,164.6289,691.0,30.98,0.6584469550118219,0.24322954438591315,0.83787512935495,0.8866837387964148,0.6451,HIGH,🔴 HIGH DEGRADATION,False
Pali,2017,0.315746,100.7001,674.0,32.56,0.5487367380704062,0.1300121932753688,0.8437392204208347,0.9372599231754161,0.5955,HIGH,🔴 HIGH DEGRADATION,False
Pali,2019,0.237455,95.7546,674.85,32.0,0.9762363694938762,0.1212537556085082,0.8434460158675405,0.9193341869398206,0.7179,CRITICAL,🔴 HIGH DEGRADATION,False
Pali,2021,0.27854,164.1339,700.86,34.52,0.7518961214828244,0.2423529036731246,0.8344739565367368,1.0,0.6948,CRITICAL,🔴 HIGH DEGRADATION,False
Pali,2023,0.285392,95.0337,692.87,33.76,0.7144815083789733,0.11997704795224699,0.8372300793377027,0.9756722151088346,0.6488,HIGH,🔴 HIGH DEGRADATION,False
Udaipur,2015,0.362418,55.2663,3120.0,6.71,0.29388927414995325,0.049549326979016414,0.0,0.10979513444302176,0.1225,LOW,🟢 LOW STRESS / RECOVERING,False
Udaipur,2017,0.41624,42.5943,2764.0,6.38,0.0,0.027107324731628395,0.12280096585029321,0.09923175416133162,0.0573,LOW,🟢 LOW STRESS / RECOVERING,False
Udaipur,2019,0.302646,35.0883,2757.54,3.95,0.6202678868824977,0.013814263741343168,0.12502932045532944,0.02144686299615878,0.2251,LOW,🟢 LOW STRESS / RECOVERING,False
Udaipur,2021,0.373563,31.4271,2753.39,6.85,0.23303319372928477,0.007330310251117716,0.12646084856847195,0.1142765685019206,0.1262,LOW,🟢 LOW STRESS / RECOVERING,False
Udaipur,2023,0.400192,27.288,2766.3,9.24,0.08762838749133162,0.0,0.1220075888237323,0.19078104993597952,0.0949,LOW,🟢 LOW STRESS / RECOVERING,False
